( Pawn: v1: "shadow_pvp_pre-raid": Intellect=113.955, Spirit=37.6623, Stamina=221.734, Agility=15.486, Mp5=142.796, SpellPower=93.5831, ShadowSpellDamage=89.4131, Healing=4.3864, SpellCritRating=425.949, SpellHitRating=1569.09, ArcaneResist=17.5804, NatureResist=17.5804, FireResist=35.1848, FrostResist=70.4655, ShadowResist=45.7964, Armor=7.6399, DefenseRating=0, DodgeRating=133.752, ParryRating=0, IsFist=X, Is2HMace=X, IsCrossbow=X, IsGun=X, IsShield=X, IsPolearm=X, Is2HAxe=X, IsBow=X, IsMail=X, IsPlate=X, IsLeather=X, IsAxe=X, Is2HAxe=X, IsSword=X, Is2HSword=X)
( Pawn: v1: "shadow_pvp_pre-raid": Intellect=123.119, Spirit=40.1125, Stamina=249.583, Agility=17.2187, Mp5=152.085, SpellPower=100.772, ShadowSpellDamage=95.7746, Healing=4.945, SpellCritRating=449.352, SpellHitRating=1744.43, ArcaneResist=19.6059, NatureResist=19.6059, FireResist=39.2386, FrostResist=78.801, ShadowResist=51.0311, Armor=8.52679, DefenseRating=0, DodgeRating=132.356, ParryRating=0, IsFist=X, Is2HMace=X, IsCrossbow=X, IsGun=X, IsShield=X, IsPolearm=X, Is2HAxe=X, IsBow=X, IsMail=X, IsPlate=X, IsLeather=X, IsAxe=X, Is2HAxe=X, IsSword=X, Is2HSword=X)
( Pawn: v1: "shadow_pvp_pre-raid": Intellect=121.444, Spirit=36.4701, Stamina=221.636, Agility=16.1975, Mp5=138.275, SpellPower=101.82, ShadowSpellDamage=96.8542, Healing=4.38442, SpellCritRating=453.365, SpellHitRating=1565.37, ArcaneResist=17.4435, NatureResist=17.4435, FireResist=34.9583, FrostResist=70.2029, ShadowResist=45.3777, Armor=7.98398, DefenseRating=0, DodgeRating=139.846, ParryRating=0, IsFist=X, Is2HMace=X, IsCrossbow=X, IsGun=X, IsShield=X, IsPolearm=X, Is2HAxe=X, IsBow=X, IsMail=X, IsPlate=X, IsLeather=X, IsAxe=X, Is2HAxe=X, IsSword=X, Is2HSword=X)
( Pawn: v1: "shadow_pvp_pre-raid": Intellect=121.444, Spirit=36.4701, Stamina=221.636, Agility=16.1975, Mp5=138.275, SpellPower=101.82, ShadowSpellDamage=96.8542, Healing=4.38442, SpellCritRating=453.365, SpellHitRating=1565.37, ArcaneResist=17.4435, NatureResist=17.4435, FireResist=34.9583, FrostResist=70.2029, ShadowResist=45.3777, Armor=7.98398, DefenseRating=0, DodgeRating=139.846, ParryRating=0, IsFist=X, Is2HMace=X, IsCrossbow=X, IsGun=X, IsShield=X, IsPolearm=X, Is2HAxe=X, IsBow=X, IsMail=X, IsPlate=X, IsLeather=X, IsAxe=X, Is2HAxe=X, IsSword=X, Is2HSword=X)
( Pawn: v1: "shadow_pvp_pre-raid": Intellect=121.444, Spirit=36.4701, Stamina=221.636, Agility=16.1975, Mp5=138.275, SpellPower=101.82, ShadowSpellDamage=96.8542, Healing=4.38442, SpellCritRating=453.365, SpellHitRating=1565.37, ArcaneResist=17.4435, NatureResist=17.4435, FireResist=34.9583, FrostResist=70.2029, ShadowResist=45.3777, Armor=7.98398, DefenseRating=0, DodgeRating=139.846, ParryRating=0, IsFist=X, Is2HMace=X, IsCrossbow=X, IsGun=X, IsShield=X, IsPolearm=X, Is2HAxe=X, IsBow=X, IsMail=X, IsPlate=X, IsLeather=X, IsAxe=X, Is2HAxe=X, IsSword=X, Is2HSword=X)
( Pawn: v1: "shadow_pvp_pre-raid": Intellect=121.444, Spirit=36.4701, Stamina=221.636, Agility=16.1975, Mp5=138.275, SpellPower=101.82, ShadowSpellDamage=96.8542, Healing=4.38442, SpellCritRating=453.365, SpellHitRating=1565.37, ArcaneResist=17.4435, NatureResist=17.4435, FireResist=34.9583, FrostResist=70.2029, ShadowResist=45.3777, Armor=7.98398, DefenseRating=0, DodgeRating=139.846, ParryRating=0, IsFist=X, Is2HMace=X, IsCrossbow=X, IsGun=X, IsShield=X, IsPolearm=X, Is2HAxe=X, IsBow=X, IsMail=X, IsPlate=X, IsLeather=X, IsAxe=X, Is2HAxe=X, IsSword=X, Is2HSword=X)
( Pawn: v1: "shadow_pvp_pre-raid": Intellect=123.119, Spirit=40.1125, Stamina=249.583, Agility=17.2187, Mp5=152.085, SpellPower=100.772, ShadowSpellDamage=95.7746, Healing=4.945, SpellCritRating=449.352, SpellHitRating=1744.43, ArcaneResist=19.6059, NatureResist=19.6059, FireResist=39.2386, FrostResist=78.801, ShadowResist=51.0311, Armor=8.52679, DefenseRating=0, DodgeRating=132.356, ParryRating=0, IsFist=X, Is2HMace=X, IsCrossbow=X, IsGun=X, IsShield=X, IsPolearm=X, Is2HAxe=X, IsBow=X, IsMail=X, IsPlate=X, IsLeather=X, IsAxe=X, Is2HAxe=X, IsSword=X, Is2HSword=X)
( Pawn: v1: "shadow_pvp_pre-raid": Intellect=121.444, Spirit=36.4701, Stamina=221.636, Agility=16.1975, Mp5=138.275, SpellPower=101.82, ShadowSpellDamage=96.8542, Healing=4.38442, SpellCritRating=453.365, SpellHitRating=1565.37, ArcaneResist=17.4435, NatureResist=17.4435, FireResist=34.9583, FrostResist=70.2029, ShadowResist=45.3777, Armor=7.98398, DefenseRating=0, DodgeRating=139.846, ParryRating=0, IsFist=X, Is2HMace=X, IsCrossbow=X, IsGun=X, IsShield=X, IsPolearm=X, Is2HAxe=X, IsBow=X, IsMail=X, IsPlate=X, IsLeather=X, IsAxe=X, Is2HAxe=X, IsSword=X, Is2HSword=X)
( Pawn: v1: "shadow_pvp_pre-raid": Intellect=124.375, Spirit=41.1111, Stamina=246.641, Agility=18.4519, Mp5=155.871, SpellPower=98.5232, ShadowSpellDamage=93.6785, Healing=4.88459, SpellCritRating=445.106, SpellHitRating=1745.61, ArcaneResist=19.6825, NatureResist=19.6825, FireResist=39.4462, FrostResist=79.2195, ShadowResist=51.3013, Armor=9.13116, DefenseRating=0, DodgeRating=141.548, ParryRating=0, IsFist=X, Is2HMace=X, IsCrossbow=X, IsGun=X, IsShield=X, IsPolearm=X, Is2HAxe=X, IsBow=X, IsMail=X, IsPlate=X, IsLeather=X, IsAxe=X, Is2HAxe=X, IsSword=X, Is2HSword=X)
